#id,username,repository,committers,authors,age_days,commits,files,main_lang,number_langs,bytes_main_lang,bytes_total,major_contrib,number_contribs,commits_major_contrib,commits_total,main_uml_author,number_uml_authors,changes_by_main_uml_author,total_uml_changes
729,radif,SIPHON-SIP-Client-that-actually-compiles,1,1,1453,2,6581,None,None,None,None,5417,1,2,2,5417,1,2,2
730,apache,batik,21,21,5665,3606,13360,None,None,None,None,5421,21,929,3606,5429,1,1,1
731,aommm,bibbla,8,8,1301,495,2774,None,None,None,None,5440,8,173,495,5439,1,3,3
732,leonardo7,Projects,2,2,1316,12,1709,None,None,None,None,5446,2,10,12,5446,1,1,1
733,hgdeoro,utenabi,1,1,1314,57,27,None,None,None,None,5448,1,57,57,5448,1,1,1
734,stigglePogletX,Address_Book_Capstone,3,3,1319,48,97,None,None,None,None,5449,3,28,48,5451,1,2,2
735,WiReSEP,WireLib2012,27,26,1448,1232,1739,None,None,None,None,5471,26,255,1232,5458,1,1,1
736,markofu,scripts,1,1,131,1,5407,None,None,None,None,5479,1,1,1,5479,1,1,1
737,eclipse,gmf-tooling,34,36,3897,9718,25259,None,None,None,None,5480,36,2395,9718,5488,3,1,3
738,jojokine,OhHa,12,12,1310,73,243,None,None,None,None,5514,12,40,73,5514,1,2,2
739,taghof,Navigation-for-Robots-with-WIFI-and-CV,5,5,1610,542,1278,None,None,None,None,5525,5,385,542,5525,2,26,27
740,Spawek,autonomiczny_samochod,1,1,1303,62,239,None,None,None,None,5530,1,62,62,5530,1,1,1
741,subinsebastien,rowfiles,4,4,1539,72,595,None,None,None,None,5531,4,33,72,5532,1,1,1
742,llaville,php-reflect,5,5,1855,1005,666,None,None,None,None,5536,5,894,1005,5536,1,1,1
743,jamesward,running_java_play_and_scala_apps_on_the_cloud,24,24,1763,210,58,None,None,None,None,5540,24,165,210,5563,1,1,1
744,davibq,SIA_ERP,10,10,1310,171,803,None,None,None,None,5567,10,69,171,5568,1,1,1
745,godong9,HDFS2a,4,4,1318,22,30332,None,None,None,None,5575,4,15,22,5575,1,6,6
746,Kanma,Ogre,3,2,2229,31,8911,None,None,None,None,5578,2,30,31,5578,1,2,2
747,GiorgosMethe,PredatorVsPrey,6,6,1307,314,2098,None,None,None,None,5582,6,137,314,5582,1,1,1
748,xgsa,cdt-tests-runner,54,73,5031,20097,21788,None,None,None,None,4701,73,2655,20097,4717,1,2,2
749,pcego,SistemaVendas,3,3,1479,15,32,None,None,None,None,5587,3,13,15,5587,1,2,2
750,ppiotr,PDFPlotsExtractor,8,8,2013,164,1103,None,None,None,None,5592,8,148,164,5594,1,1,1
751,metno,wdb-feltload,6,6,2625,134,152,None,None,None,None,5598,6,86,134,5598,1,1,1
752,knightbk,Junior-Project-Mobile-Student-Lookup,10,10,1650,229,559,None,None,None,None,5605,10,62,229,5605,3,4,9
753,jiangzian1987dx,Weibo_Android_Client_App,2,2,1612,4,215,None,None,None,None,5614,2,3,4,5614,1,2,2
754,zetacomponents,Translation,12,12,3701,99,76,None,None,None,None,3857,12,73,99,3857,1,2,2
755,rjpower,hadoop,3,3,1421,15,3933,None,None,None,None,5616,3,7,15,5616,1,5,5
756,huzi,kaesebrot,2,2,2001,30,112,None,None,None,None,5620,2,29,30,5620,1,5,5
757,ui-kreinhard,doc-xhtml,3,3,1307,9,43,None,None,None,None,5621,3,4,9,5623,1,1,1
758,span,Team05,8,8,1303,604,554,None,None,None,None,5626,8,251,604,5625,1,4,4
759,hunterhacker,jdom-site,6,6,5544,187,997,None,None,None,None,5632,6,153,187,5632,1,1,1
760,snowpuppy,ECE337,6,6,1304,70,418,None,None,None,None,5641,6,44,70,5641,1,3,3
761,veatchje,Siftables-477,1,1,1302,5,398,None,None,None,None,5644,1,5,5,5644,1,1,1
762,fujohnwang,fujohnwang.github.com,2,2,601,427,1716,None,None,None,None,5645,2,331,427,5645,1,1,1
763,sevenfold-IS2011,woty_SGP,8,8,1414,156,414,None,None,None,None,5650,8,42,156,5648,2,12,24
764,ewhitmire,mypack-speech,4,4,1304,268,594,None,None,None,None,5655,4,135,268,5656,1,1,1
765,veny,orientdb4r,6,6,1400,220,64,None,None,None,None,5659,6,208,220,5659,1,3,3
766,SonarSource,sonar-java,37,47,1308,3900,7303,None,None,None,None,5678,47,1399,3900,5678,1,2,2
767,CoderNumber1,ObjectOrientedProgramingFall2012,1,1,1314,37,511,None,None,None,None,5711,1,37,37,5711,1,1,1
768,TeamLegendaryAwesome,WYSIWYD,9,9,1300,520,942,None,None,None,None,5717,9,143,520,5718,1,6,6
769,podd,podd-publications,3,3,1495,105,182,None,None,None,None,5721,3,100,105,5721,1,1,1
770,madaan,entire-src,4,4,1439,167,3514,None,None,None,None,5725,4,148,167,5725,1,1,1
771,XenofoR,PAQ,10,10,1308,81,2348,None,None,None,None,5734,10,39,81,5734,1,1,1
772,RestComm,jain-slee.media,8,8,1325,70,866,None,None,None,None,3456,8,23,70,5738,1,1,1
773,iccs,STARDOM,6,6,1820,197,6020,None,None,None,None,5742,6,174,197,5742,1,1,1
774,moacirmoda,fitnets,7,7,1315,154,806,None,None,None,None,5749,7,108,154,5753,1,1,1
775,CafeGIS,gvSIG2_0,1,1,1308,52,12389,None,None,None,None,5755,1,52,52,5755,1,3,3
776,ivaneye,ivanpig.github.com,1,1,501,275,1729,None,None,None,None,5756,1,275,275,5756,1,2,2
777,gbarba,multierp-apps,2,2,1317,12,22,None,None,None,None,5757,2,6,12,5758,1,1,1
