"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
Package-Diagramm-Front.png,04 Design/Architektur/Package-Diagramm-Front.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/04 Design/Architektur/Package-Diagramm-Front.png,17306,9,bieridee,bieridee-docs,104,104,0,1488,1404,217,26
PackageDiagramm.png,04 Design/Architektur/PackageDiagramm.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/04 Design/Architektur/PackageDiagramm.png,16952,9,bieridee,bieridee-docs,104,104,1,1488,1463,81,162
Package-Diagramm-Back.png,05 Implementation and Test/Package-Diagramm-Back.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/05 Implementation and Test/Package-Diagramm-Back.png,17259,9,bieridee,bieridee-docs,105,105,0,1488,1405,210,33
Package-Diagramm-Front.png,05 Implementation and Test/Package-Diagramm-Front.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/05 Implementation and Test/Package-Diagramm-Front.png,17260,9,bieridee,bieridee-docs,105,105,0,1488,1405,210,33
ClassDiagramModels.png,10_Presentation/ClassDiagramModels.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/10_Presentation/ClassDiagramModels.png,17033,9,bieridee,bieridee-docs,105,105,0,1488,1408,181,62
ClassDiagramPresentation.png,10_Presentation/ClassDiagramPresentation.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/10_Presentation/ClassDiagramPresentation.png,17034,9,bieridee,bieridee-docs,105,105,0,1488,1408,181,62
ComponentDiagram.png,10_Presentation/ComponentDiagram.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/10_Presentation/ComponentDiagram.png,17056,9,bieridee,bieridee-docs,105,105,0,1488,1406,194,49
Database_Design_Graph.png,10_Presentation/Database_Design_Graph.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/10_Presentation/Database_Design_Graph.png,17035,9,bieridee,bieridee-docs,105,105,0,1488,1408,181,62
Package.Diagramm.No.Exceptions.Package.png,10_Presentation/Package.Diagramm.No.Exceptions.Package.png,https://raw.githubusercontent.com/bieridee/bieridee-docs/master/10_Presentation/Package.Diagramm.No.Exceptions.Package.png,17037,9,bieridee,bieridee-docs,105,105,0,1488,1408,181,62
architecture.png,cikmposter/images/architecture.png,https://raw.githubusercontent.com/SakuraSound/MADden/master/cikmposter/images/architecture.png,18183,10,SakuraSound,MADden,109,109,0,1650,1256,115,0
