"#uml_file, file_path, file_url, file_id, repo_id, repo_user, repo_name, author, commiter, modifications, repo_age, file_age, commits_before, commits_after"
L1.uml,plugins/org.eclipse.emf.cdo.tests/uml2/L1.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/L1.uml,33428,15,eclipse,cdo,106,106,0,3657,3140,802,9688
L2.uml,plugins/org.eclipse.emf.cdo.tests/uml2/L2.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/L2.uml,33429,15,eclipse,cdo,106,106,0,3657,3140,802,9688
L3.uml,plugins/org.eclipse.emf.cdo.tests/uml2/L3.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/L3.uml,33430,15,eclipse,cdo,106,106,0,3657,3140,802,9688
LM.uml,plugins/org.eclipse.emf.cdo.tests/uml2/LM.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/LM.uml,33431,15,eclipse,cdo,106,106,0,3657,3140,802,9688
Superstructure.uml,plugins/org.eclipse.emf.cdo.tests/uml2/Superstructure.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/Superstructure.uml,33432,15,eclipse,cdo,106,106,0,3657,3140,802,9688
UML.merged.uml,plugins/org.eclipse.emf.cdo.tests/uml2/UML.merged.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/UML.merged.uml,33434,15,eclipse,cdo,106,106,0,3657,3140,802,9688
UML.uml,plugins/org.eclipse.emf.cdo.tests/uml2/UML.uml,https://raw.githubusercontent.com/eclipse/cdo/master/plugins/org.eclipse.emf.cdo.tests/uml2/UML.uml,33435,15,eclipse,cdo,106,106,0,3657,3140,802,9688
1710-m1.uml,doc/org.eclipse.ocl.doc/doc/models/1710-m1.uml,https://raw.githubusercontent.com/eclipse/ocl/master/doc/org.eclipse.ocl.doc/doc/models/1710-m1.uml,234661,16,eclipse,ocl,88,88,1,3812,667,7117,1819
1710-m2.profile.uml,doc/org.eclipse.ocl.doc/doc/models/1710-m2.profile.uml,https://raw.githubusercontent.com/eclipse/ocl/master/doc/org.eclipse.ocl.doc/doc/models/1710-m2.profile.uml,234665,16,eclipse,ocl,88,88,0,3812,666,7118,1818
1710-sm.uml,doc/org.eclipse.ocl.doc/doc/models/1710-sm.uml,https://raw.githubusercontent.com/eclipse/ocl/master/doc/org.eclipse.ocl.doc/doc/models/1710-sm.uml,234668,16,eclipse,ocl,88,88,0,3812,666,7118,1818
6310-model.uml,doc/org.eclipse.ocl.doc/references/6310-model.uml,https://raw.githubusercontent.com/eclipse/ocl/master/doc/org.eclipse.ocl.doc/references/6310-model.uml,227257,16,eclipse,ocl,89,89,2,3812,1394,5475,3461
MDTOCL.uml,examples/org.eclipse.ocl.examples.build/model/MDTOCL.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/MDTOCL.uml,231966,16,eclipse,ocl,88,89,0,3812,1012,6236,2700
OCL.uml,examples/org.eclipse.ocl.examples.build/model/OCL.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/OCL.uml,231967,16,eclipse,ocl,88,89,0,3812,1012,6236,2700
allEcores.uml,examples/org.eclipse.ocl.examples.build/model/allEcores.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/allEcores.uml,237233,16,eclipse,ocl,88,88,1,3812,487,7645,1291
basecs.uml,examples/org.eclipse.ocl.examples.build/model/basecs.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/basecs.uml,237234,16,eclipse,ocl,88,88,5,3812,487,7645,1291
completeoclcs.uml,examples/org.eclipse.ocl.examples.build/model/completeoclcs.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/completeoclcs.uml,237235,16,eclipse,ocl,88,88,2,3812,487,7645,1291
ecore.uml,examples/org.eclipse.ocl.examples.build/model/ecore.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/ecore.uml,237236,16,eclipse,ocl,88,88,1,3812,487,7645,1291
essentialoclcs.uml,examples/org.eclipse.ocl.examples.build/model/essentialoclcs.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/essentialoclcs.uml,237237,16,eclipse,ocl,88,88,2,3812,487,7645,1291
oclinecorecs.uml,examples/org.eclipse.ocl.examples.build/model/oclinecorecs.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/oclinecorecs.uml,237238,16,eclipse,ocl,88,88,2,3812,487,7645,1291
oclstdlibcs.uml,examples/org.eclipse.ocl.examples.build/model/oclstdlibcs.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.build/model/oclstdlibcs.uml,237239,16,eclipse,ocl,88,88,2,3812,487,7645,1291
PapyrusTestFile.uml,examples/org.eclipse.ocl.examples.project.completeocltutorial/model/PapyrusTestFile.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.project.completeocltutorial/model/PapyrusTestFile.uml,227077,16,eclipse,ocl,89,89,1,3812,1401,5453,3483
Types.merged.uml,examples/org.eclipse.ocl.examples.uml25/model/Types.merged.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.uml25/model/Types.merged.uml,232631,16,eclipse,ocl,89,89,0,3812,892,6528,2408
UML.merged.uml,examples/org.eclipse.ocl.examples.uml25/model/UML.merged.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.uml25/model/UML.merged.uml,232634,16,eclipse,ocl,89,89,2,3812,892,6528,2408
UMLMerge.uml,examples/org.eclipse.ocl.examples.uml25/model/UMLMerge.uml,https://raw.githubusercontent.com/eclipse/ocl/master/examples/org.eclipse.ocl.examples.uml25/model/UMLMerge.uml,232635,16,eclipse,ocl,89,89,1,3812,892,6528,2408
